"provider_id","provider_name","state","number_of_certified_beds","average_number_of_residents_per_day","total_adjusted_nurse_staffing_hrs_per_resident_per_day","bed_utilization_rate","month"
"015009","BURNS NURSING HOME, INC.","AL","57","53.3","7.57211","0.9350877192982455","10"
"015010","COOSA VALLEY HEALTHCARE CENTER","AL","85","77.5","7.69623","0.9117647058823529","10"
"015012","HIGHLANDS HEALTH AND REHAB","AL","50","44.4","8.91812","0.888","10"
"015014","EASTVIEW REHABILITATION & HEALTHCARE CENTER","AL","92","72.8","6.40738","0.7913043478260869","10"
"015015","PLANTATION MANOR NURSING HOME","AL","103","91.8","7.8390699999999995","0.8912621359223301","10"
"015016","ATHENS HEALTH AND REHABILITATION LLC","AL","149","128.3","7.86057","0.8610738255033558","10"
"015019","MERRY WOOD LODGE","AL","124","98.5","6.288069999999999","0.7943548387096774","10"
"015023","HATLEY HEALTH CARE INC","AL","201","87.4","5.776540000000001","0.4348258706467662","10"
"015024","LIMESTONE NURSING AND REHABILITATION CENTER, LLC","AL","170","134.6","6.22348","0.7917647058823529","10"
"015027","WETUMPKA HEALTH AND REHABILITATION, LLC","AL","121","114.4","7.64039","0.9454545454545455","10"
"015028","KELLER LANDING","AL","109","78.5","6.42257","0.7201834862385321","10"
"015031","MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION","AL","222","184.1","7.21036","0.8292792792792792","10"
"015032","DIVERSICARE OF FOLEY","AL","154","128.2","6.5582","0.8324675324675324","10"
"015034","HUNTER CREEK HEALTH AND REHABILITATION, LLC","AL","78","75.2","7.70625","0.9641025641025641","10"
"015035","WEST GATE VILLAGE","AL","125","103.0","9.46754","0.824","10"
"015040","DIVERSICARE OF MONTGOMERY","AL","138","115.1","6.00343","0.8340579710144927","10"
"015042","SUMTER HEALTH AND REHABILITATION, L L C","AL","125","102.9","7.94914","0.8232","10"
"015044","CAREGIVERS OF PLEASANT GROVE, INC","AL","64","43.4","8.177999999999999","0.678125","10"
"015045","EAMC LANIER NURSING HOME","AL","103","71.6","7.91711","0.6951456310679611","10"
"015047","NORTHWAY HEALTH AND REHABILITATION, LLC","AL","113","108.3","8.11823","0.9584070796460177","10"
"015048","CULLMAN HEALTH CARE CENTER","AL","95","87.1","8.03405","0.9168421052631578","10"
"015049","EASTERN SHORE REHABILITATION AND HEALTH CENTER","AL","117","104.2","8.97796","0.8905982905982907","10"
"015050","OAK CREST HEALTH & WELLNESS","AL","79","56.1","6.85619","0.710126582278481","10"
"015053","CLEBURNE COUNTY NURSING HOME","AL","82","72.1","9.322189999999999","0.8792682926829267","10"
"015060","RIDGEWAY REHABILITATION & SENIOR LIVING","AL","69","56.3","7.67037","0.8159420289855072","10"
"015063","DIVERSICARE OF BOAZ","AL","100","95.6","6.50999","0.956","10"
"015065","PRATTVILLE HEALTH AND REHABILITATION, LLC","AL","162","141.1","8.044550000000001","0.8709876543209876","10"
"015066","TERRACE MANOR NURSING & REHABILITATION CENTER, INC","AL","63","54.4","8.0615","0.8634920634920634","10"
"015067","COTTAGE OF THE SHOALS","AL","103","88.6","5.811249999999999","0.8601941747572815","10"
"015071","ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE","AL","50","46.2","7.0785","0.924","10"
"015073","HANCEVILLE NURSING & REHAB CENTER, INC","AL","208","190.9","8.307879999999999","0.9177884615384616","10"
"015075","SUMMERFORD HEALTH AND REHAB, LLC","AL","216","148.6","5.78622","0.6879629629629629","10"
"015076","FAIR HAVEN","AL","259","229.0","9.05404","0.8841698841698842","10"
"015083","ELBA NURSING AND REHABILITATION CENTER, LLC","AL","111","85.7","7.5849","0.7720720720720721","10"
"015084","PARK PLACE","AL","103","99.6","6.600350000000001","0.9669902912621359","10"
"015089","EVERGREEN NURSING HOME","AL","61","53.1","8.08616","0.8704918032786886","10"
"015091","NORTH HILL NURSING AND REHABILITATION CTR, LLC","AL","190","154.6","6.39601","0.8136842105263158","10"
"015097","SOUTH HEALTH AND REHABILITATION, LLC","AL","83","69.6","7.17746","0.8385542168674698","10"
"015098","ALLEN HEALTH AND REHABILITATION","AL","119","76.1","6.88508","0.6394957983193277","10"
"015100","CROWNE HEALTH CARE OF MOBILE","AL","148","137.0","8.62309","0.9256756756756757","10"
"015101","ALTOONA  HEALTH & REHAB","AL","50","47.6","7.3778","0.9520000000000001","10"
"015103","ASHLAND PLACE HEALTH AND REHABILITATION, LLC","AL","164","141.5","9.226600000000001","0.8628048780487805","10"
"015104","SOUTHLAND NURSING HOME","AL","91","57.5","8.61991","0.6318681318681318","10"
"015109","CIVIC CENTER HEALTH AND REHABILITATION, LLC","AL","95","91.2","7.72466","0.9600000000000001","10"
"015111","DIVERSICARE OF BIG SPRINGS","AL","145","119.5","5.72297","0.8241379310344827","10"
"015112","MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER","AL","111","83.4","5.63009","0.7513513513513514","10"
"015113","RIVER CITY CENTER","AL","183","153.6","6.40413","0.839344262295082","10"
"015114","SHADESCREST HEALTH CARE CENTER","AL","107","92.9","7.39377","0.8682242990654206","10"
"015115","CORDOVA HEALTH AND REHABILITATION, LLC","AL","114","107.6","8.420919999999999","0.943859649122807","10"
"015116","SIGNATURE HEALTHCARE OF WHITESBURG GARDENS","AL","159","97.6","7.75172","0.6138364779874214","10"
"015117","OAK KNOLL HEALTH AND REHABILITATION, LLC","AL","100","97.1","7.09113","0.971","10"
"015119","ARABELLA HEALTH AND WELLNESS OF SELMA","AL","172","129.3","6.709820000000001","0.7517441860465117","10"
"015120","NHC HEALTHCARE, ANNISTON","AL","151","125.2","7.389189999999999","0.8291390728476822","10"
"015121","CROWNE HEALTH CARE OF CITRONELLE","AL","69","67.5","9.19922","0.9782608695652174","10"
"015123","WASHINGTON COUNTY NURSING HOME","AL","88","76.9","7.973050000000001","0.8738636363636364","10"
"015124","CLAY COUNTY NURSING HOME","AL","83","71.1","7.810560000000001","0.8566265060240963","10"
"015126","TRAYLOR RETIREMENT COMMUNITY","AL","123","74.3","8.031410000000001","0.6040650406504064","10"
"015127","BROOKSHIRE HEALTHCARE CENTER","AL","129","116.6","8.124970000000001","0.903875968992248","10"
"015128","NHC HEALTHCARE, MOULTON","AL","136","113.0","6.5083400000000005","0.8308823529411765","10"
"015129","ATMORE NURSING CENTER","AL","100","75.5","9.87264","0.755","10"
"015132","DIVERSICARE OF OXFORD","AL","173","126.8","6.658569999999999","0.7329479768786127","10"
"015133","MAGNOLIA RIDGE","AL","148","135.3","5.58317","0.9141891891891892","10"
"015134","BIRMINGHAM NURSING AND REHABILITATION CENTER EAST","AL","132","104.8","4.87942","0.793939393939394","10"
"015135","JOHN KNOX MANOR INC  I I","AL","98","59.9","9.644120000000001","0.6112244897959184","10"
"015136","FALKVILLE REHABILITATION AND HEALTHCARE CENTER","AL","116","83.0","8.54266","0.7155172413793104","10"
"015137","ALICEVILLE MANOR NURSING HOME","AL","100","91.5","8.009879999999999","0.915","10"
"015138","HENDRIX HEALTH AND REHABILITATION","AL","110","100.8","6.922359999999999","0.9163636363636364","10"
"015139","TALLASSEE HEALTH AND REHABILITATION, LLC","AL","111","94.7","7.56977","0.8531531531531532","10"
