"provider_name","state","measure_code","score"
"BURNS NURSING HOME, INC.","AL","S_004_01_PPR_PD_OBS","5.38"
"COOSA VALLEY HEALTHCARE CENTER","AL","S_004_01_PPR_PD_OBS","5.98"
"HIGHLANDS HEALTH AND REHAB","AL","S_004_01_PPR_PD_OBS","11.49"
"PLANTATION MANOR NURSING HOME","AL","S_004_01_PPR_PD_OBS","5.41"
"ATHENS HEALTH AND REHABILITATION LLC","AL","S_004_01_PPR_PD_OBS","10.96"
"MERRY WOOD LODGE","AL","S_004_01_PPR_PD_OBS","10.00"
"LIMESTONE NURSING AND REHABILITATION CENTER, LLC","AL","S_004_01_PPR_PD_OBS","5.96"
"WETUMPKA HEALTH AND REHABILITATION, LLC","AL","S_004_01_PPR_PD_OBS","11.41"
"KELLER LANDING","AL","S_004_01_PPR_PD_OBS","9.23"
"MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION","AL","S_004_01_PPR_PD_OBS","10.48"
"DIVERSICARE OF FOLEY","AL","S_004_01_PPR_PD_OBS","8.67"
"HUNTER CREEK HEALTH AND REHABILITATION, LLC","AL","S_004_01_PPR_PD_OBS","7.58"
"WEST GATE VILLAGE","AL","S_004_01_PPR_PD_OBS","7.38"
"DIVERSICARE OF MONTGOMERY","AL","S_004_01_PPR_PD_OBS","8.33"
"SUMTER HEALTH AND REHABILITATION, L L C","AL","S_004_01_PPR_PD_OBS","10.00"
"NORTHWAY HEALTH AND REHABILITATION, LLC","AL","S_004_01_PPR_PD_OBS","13.79"
"CULLMAN HEALTH CARE CENTER","AL","S_004_01_PPR_PD_OBS","10.00"
"EASTERN SHORE REHABILITATION AND HEALTH CENTER","AL","S_004_01_PPR_PD_OBS","8.84"
"CLEBURNE COUNTY NURSING HOME","AL","S_004_01_PPR_PD_OBS","9.57"
"RIDGEWAY REHABILITATION & SENIOR LIVING","AL","S_004_01_PPR_PD_OBS","8.00"
"DIVERSICARE OF BOAZ","AL","S_004_01_PPR_PD_OBS","10.07"
"PRATTVILLE HEALTH AND REHABILITATION, LLC","AL","S_004_01_PPR_PD_OBS","11.11"
"TERRACE MANOR NURSING & REHABILITATION CENTER, INC","AL","S_004_01_PPR_PD_OBS","9.15"
"COTTAGE OF THE SHOALS","AL","S_004_01_PPR_PD_OBS","10.47"
"ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE","AL","S_004_01_PPR_PD_OBS","10.87"
"HANCEVILLE NURSING & REHAB CENTER, INC","AL","S_004_01_PPR_PD_OBS","8.68"
"SUMMERFORD HEALTH AND REHAB, LLC","AL","S_004_01_PPR_PD_OBS","8.94"
"FAIR HAVEN","AL","S_004_01_PPR_PD_OBS","9.95"
"ELBA NURSING AND REHABILITATION CENTER, LLC","AL","S_004_01_PPR_PD_OBS","13.08"
"PARK PLACE","AL","S_004_01_PPR_PD_OBS","14.41"
"EVERGREEN NURSING HOME","AL","S_004_01_PPR_PD_OBS","14.74"
"NORTH HILL NURSING AND REHABILITATION CTR, LLC","AL","S_004_01_PPR_PD_OBS","10.64"
"ALLEN HEALTH AND REHABILITATION","AL","S_004_01_PPR_PD_OBS","7.32"
"CROWNE HEALTH CARE OF MOBILE","AL","S_004_01_PPR_PD_OBS","4.35"
"ASHLAND PLACE HEALTH AND REHABILITATION, LLC","AL","S_004_01_PPR_PD_OBS","11.20"
"DIVERSICARE OF BIG SPRINGS","AL","S_004_01_PPR_PD_OBS","16.22"
"RIVER CITY CENTER","AL","S_004_01_PPR_PD_OBS","14.41"
"SHADESCREST HEALTH CARE CENTER","AL","S_004_01_PPR_PD_OBS","3.95"
"CORDOVA HEALTH AND REHABILITATION, LLC","AL","S_004_01_PPR_PD_OBS","7.46"
"SIGNATURE HEALTHCARE OF WHITESBURG GARDENS","AL","S_004_01_PPR_PD_OBS","10.32"
"ARABELLA HEALTH AND WELLNESS OF SELMA","AL","S_004_01_PPR_PD_OBS","14.89"
"NHC HEALTHCARE, ANNISTON","AL","S_004_01_PPR_PD_OBS","13.05"
"CROWNE HEALTH CARE OF CITRONELLE","AL","S_004_01_PPR_PD_OBS","9.09"
"TRAYLOR RETIREMENT COMMUNITY","AL","S_004_01_PPR_PD_OBS","11.32"
"BROOKSHIRE HEALTHCARE CENTER","AL","S_004_01_PPR_PD_OBS","14.21"
