"state_or_nation","average_number_of_residents_per_day","total_nurse_staffing_hrs_per_resident_per_day","month"
"NATION","83.0","7.190519999999999","10"
"AK","36.8","13.224920000000001","10"
"AL","95.7","7.06482","10"
"AR","74.7","7.45305","10"
"AZ","80.9","7.6254100000000005","10"
"CA","85.7","8.40902","10"
"CO","70.1","7.09589","10"
"CT","99.8","7.09288","10"
"DC","119.8","9.39749","10"
"DE","87.8","8.557469999999999","10"
"FL","106.0","7.410690000000001","10"
"GA","86.4","6.5863499999999995","10"
"HI","78.9","8.952449999999999","10"
"IA","50.2","7.04446","10"
"ID","52.6","7.47569","10"
"IL","89.8","6.42505","10"
"IN","69.9","6.80649","10"
"KS","49.2","7.566369999999999","10"
"KY","78.6","7.235429999999999","10"
"LA","88.4","6.9078599999999994","10"
"MA","95.0","7.21538","10"
"MD","104.2","7.33784","10"
"ME","63.1","8.01545","10"
"MI","81.3","7.30034","10"
"MN","58.2","7.90074","10"
"MO","71.1","6.25705","10"
"MS","73.4","7.415279999999999","10"
"MT","53.7","7.360720000000001","10"
"NC","82.8","7.0261700000000005","10"
"ND","60.7","8.45467","10"
"NE","53.5","7.62437","10"
"NH","79.4","7.113239999999999","10"
"NJ","117.0","7.09938","10"
"NM","80.4","6.58233","10"
"NV","88.7","7.872540000000001","10"
"NY","163.2","6.90083","10"
"OH","71.7","6.93319","10"
"OK","58.9","7.078189999999999","10"
"OR","52.0","9.48512","10"
"PA","100.4","7.2082","10"
"PR","21.6","9.18778","10"
"RI","94.6","6.86275","10"
"SC","87.9","7.24404","10"
"SD","50.4","6.98772","10"
"TN","81.5","6.99602","10"
"TX","73.3","6.2993500000000004","10"
"UT","57.4","7.42803","10"
"VA","97.1","6.99203","10"
"VT","68.6","7.700989999999999","10"
"WA","71.0","8.12945","10"
"WI","53.7","7.57108","10"
"WV","77.6","6.74732","10"
"WY","55.1","7.32944","10"
